essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
1,1,"dear local newspaper, think effects computers people great learning skills/affects give us time chat friends/new people, helps us learn globe(astronomy) keeps us troble! thing about! dont think so? would feel teenager always phone friends! ever time chat friends buisness partner things. well - there's new way chat computer, plenty sites internet so: @organization1, @organization2, @caps1, facebook, myspace ect. think setting meeting boss computer, teenager fun phone rushing get cause want use it. learn countrys/states outside yours? well computer/internet, new way learn going time! might think child spends lot time computer, ask question economy, sea floor spreading even @date1's surprise much he/she knows. believe computer much interesting class day reading books. child home computer local library, better friends fresh, perpressured something know isnt right. might know child is, @caps2 forbidde hospital bed drive-by. rather child computer learning, chatting playing games, safe sound home community place. hope reached point understand agree me, computers great effects child gives us time chat friends/new people, helps us learn globe believe keeps us troble. thank listening.",4,4,8
2,1,"dear @caps1 @caps2, believe using computers benefit us many ways like talking becoming friends others websites like facebook mysace. using computers help us find coordibates, locations, able ourselfs millions information. also computers benefit us helping jobs planning house plan typing @num1 page report one jobs less writing it. lets go wonder world technology. using computer help us life talking making friends line. many people myspace, facebooks, aim, benefit us conversations one another. many people believe computers bad make friends never talk them? fortunate computer help school work social life make friends. computers help us finding locations, coordibates millions information online. go internet lot know go onto websites @month1 help us locations coordinates like @location1. would rather use computer @location3. supposed vacationing @location2. million information found internet. almost every question computer it. would rather easily draw house plan computers take @num1 hours one hand ugly erazer marks it, garrenteed find job drawing like that. also appling job many workers must write long papers like @num3 word essay job fits most, many people know like writing @num3 words non-stopp hours could take hav computer. computers needed lot adays. hope essay impacted descion computers great machines work with. day showed mom use computer said greatest invention sense sliced bread! go buy computer help chat online friends, find locations millions information one click button help self getting job neat, prepared, printed work boss love.",5,4,9
3,1,"dear, @caps1 @caps2 @caps3 people use computers, everyone agrees benefits society. support advances technology believe computers positive effect people. others different ideas. great amount world today using computers, work spme fun it. computers one mans greatest accomplishments. computers helpful many ways, @caps4, news, live streams. get wrong way much people spend time computer interacting others tell do. grow want author journalist know fact jobs involve lots time time computer, one @month1 spend time know exactly @caps5 getting at. expert think people spending much time computer exercising, enjoying natures interacting family friends. expert knows must people make living know people choose use computer great amount time honest non concern called experts concern. people interact thousand times day computers. computers keep lots kids streets instead causing trouble. computers helps @organization1 locate wanted criminals. see computers useful society think, computers benefit society.",4,3,7
4,1,"dear local newspaper, @caps1 found many experts say computers benifit society. cases true cases studdies show computers help people. nothing beats talking person computers get really close examples webcams e-mail. @percent1 students get good grades refer reliable websites reasearch help find good books. also online catalouges advertisments help economy stores worldwide. @caps2 people allowed use computers modern would exist. @person1 said best form modern communication computer ability write, talk, write back much cheaper! almost every single event go planed computer communication e-mail ""@caps2 student ever needs homework lam sick needs help studying test contact teacher best form communication always e-mail. even post office uses computers get letters boxes people. president post office, @person2 said ""@caps3 would imposible get mail coustmers @caps2 @caps3 computers telling us zip code heavy box is."" @caps4 tell people happening around world would exist @caps2 @caps3 moder communication abilities computer provid us. information commucated quick. reasearch. country @location2 took pole @percent2 people used computer type reasearch, @percent3 students currently school @percent4 good grades. survey taken @location1 @percent5 people used computers fore reasons @percent2 students good grade @caps2 @caps3 posible access documents @caps5 @caps6 online probably would gotten a+ @caps7 assignment! could amagine @caps2 suddenly newspaper reporters use internet work reports? articles would probably @num1 events occur. buissness, including newspaper, use internet advertise, shop, read. association @organization1 reported @percent1 @organization1 used website @percent5 good positions. president @caps8 @num2 imports said use online catalouge @caps3 cheaper, also promote @caps3 save trees, castomer's convinence. small @organization1 make websites promote selves explain star potential coustomers. @person3, owner @organization2's said internet saved resturant. @caps2 @caps3 wer internet @num3 people would jobless @location3. conclusion computer help everyday people without convinences would exist. help communicate around world. computers help people reaserch subjects school reports, make current economy get better everyday. moderation computers useful tool there.",5,5,10
5,1,"dear @location1, know computers positive effect people. computers connect families, contain information great peoples education, conveint. computors step future take advantage it. first internet e-mail help family members connect. family, lives @num1 hours away car, love talk e-mail. helps connect family another reason computors. another reason includes family family sitting around calling everywhere find board game, would easier go online find it. way would quick easy find one board game. last reason computer would help family family wants get kinds activities need number could go online. internet family could find numbers, information it. way families activities together. one see computer bringing families together. reason computers good society educations. information tip fingers people want learn. days people try find out, tools computers mae people get education. secondly computers another way go collage. arn't going school/collage sick. miss anything click button materials needed missed. lastly everyone knows @location2 classrooms can't afford one computer. children want computors hard. get one would change much. would able learn much before. children could lean different countries far away. result computers would improve way learn. last reason computers helpful convience. say world crazy, go talk someone won't. computer offer ability confrence people would communication work parttners. ability talk another work would make us lighter nation. one many reasons computers conviente, subssiquently computers conviente could book flights, vacations, rentals, much more. click button going @caps1 nice vacation.",4,4,8
6,1,"dear @location1, think computers negative affect us! many people acess camputer daily america.. @num1 many people go least hour @num2. means @num3 people cant exercise wasting many posibility physical @caps1 sound good you? think everything done write letter. got got materials sit back down. done writing put materials away put letter mailbox walk way back. well do. think write email sitdown move fingers. see difference? @caps2 instead getting good walk friends house talk him/er. know literally computer. instead around add anything computer gives away information information lead everthing wouldbe gone. go online. believe not, phisically get hurt computer, long. @num4 thing computer @caps2 happened grandpa wood chair day get ardthritis muscle @caps3 thing th.",4,4,8
7,1,"know people days depending computers safety, natural education, social life? opinion, increasing use computers benefiting society. initially, ones safety using computer risk. begin, someone talking another computer, @month1 never know end it. example, @caps1 small girl playing game computer person began talking her, could predator. never know unless meet us somewhere. point, maybe late. moreover, studies show @percent1 people's information widely exposed last @num1 years due new chat websites. myspace facebook. websites, people share information. this, safety risk. finally, people stop using computers much now, order keep safety safe. furthermore, enjoying nature must, world full immense landscapes, wide waters, dense forests, lush valleys. @caps1 depend computer teach world, cease use. one must actually outside, experiencing feel, smell, even taste nature. recent study shows people actually went grand canyon could write @num1 page essay learned. people go simply read information computer, could write much. finally, society needs back away computers, stop into. thirdly, person's social life could ruined use computers many reasons. one reasons could person spends time computer instead spending time family friends. sure, chat people online, that's nothing like chatting person. need talk friend family member online, could person. finally, @caps1 someone takes embarrasing picture puts computer, forever. thus, lose friends, whether person picture addict put picture on. this, easily ruin family/social life using computer often. would feel @caps1 fault someone's safety risk? rather enjoy nature person instead computer get fall effect? talk friends family person rather ignore use computer? numerous ways increasing rate computer use benefit society. encourage agree computers put one safety risk decrease education nature ruin social life.",5,5,10
8,1,"@percent1 people agree computers make life less complicated. also agree this. using computers teaches hand-eye coordination, gives people ability learn faraway places people, lets people talk online people. think important. want strong hand-eye coordination? think important skill. computers help teach hand-eye coordination keep strong. looking screen hand moving mouse want go. good hand-eye coordination used lot things; mostly everything. play sports like baseball, hand-eye one important elements. make stronger feild? also, hand-eye used @organization1 taking notes. hand-eye involved almost everything do. can't poor hand-eye coordination else able function properly. @num1 @num2 doctors agree hand-eye important healthy living. love travel, want know place i'm going get phone go there."" said @person1, science teacher @organization1. feels way, i'm sure, lot people feel. want know place going want current. computer plenty information lot different places world. books offer much information need updated. computers also good learning cultures traditions. one wants ignorant right? people want know what's going world quick easy. computer this. remember @num2, phone broke house. go get one right away either. way able communicate family friends computer. computer made easier e-mail everyone tell answering house phone. happens often think. people need communicate computer lot. work, need talk employee co-worker can't leave desk, e-mail information them. @num4 @num2 employees say much faster easier e-mail information opposed talking phone person. lot people agree computer make life lot easier. computers teach hand-eye coordination let communicate people. critical reason computers let people learn faraway places people. make difference way people feel computers. write local newspaper. never!""",5,5,10
9,1,"dear reader, @organization1 dramatic effect human life. changed way almost everything today. well know, computer. device allowed people buy things online, talk people online, also provides entertainment people. good qualities make everyones lives easier. imagine look refrigerator notice almost empty. someone using car need go grocery shopping store far. do? well could go computer look food online. ther many great deals companies even deliver free! amazing easy way buy food without leaving house. food purchase. many products sold computer. need new toys kids? new hat friend? maybe even curtains room? well easy access internet computer, buy items more. computer also way communication. let's say someone wants talk friend relative lives far away another country. @caps1 someone dosen't phone @caps1 can't make call, computer. communicate anyone using email adress. friends families talk ease computer. type want say ""boom,"" instant, chat. let's face it. matter child even teenager . computer change. one click could actually watching movie comfort home. @caps1 want movie? entertainment like listing musics, watching fun, probable popular playing games. everyone loves play game every while, selection thousands online games, person can't fled atleast game enjoyable. even games educational fun many kids love. entertainment computer produce; could hate it? computer revolutinizing device changes way shop, communicate, find exciting entertainment. able much couple clicks; new find extravagant. blows mind see think, ""@caps1 now, wonder accomplish future.",4,5,9
10,1,"@location1 technology computer. say computers good society. disagree, believe bad reasons. reasons obesity, cramps, sexual harrassment even cyber bullying. first people get computers go exercise cause obesity. think way, watch kid go school entire life started @num1 pounds. thing kid want play computer gain weight. next, tip-top-tip-top, that's hear kid computer, @caps1 teens come home school go straight computer get school night. kids @caps1 likely get bad cramps. get cramps form typing fast, hard long. also get cramps sitting long trying get can't hurts much decide move anywhere. there's also lot sexual harassment going kids goin chat room talk friends great news, get chat room mad pissed off. reason someone making fun like it. happens maybe close @percent1 time teens even parents go chat rooms online. third reason computers huge effect people. last reason computers huge effect people cyberbullying. cyberbullying someone bullies online instead. realized children became poor sick dont want hurt killed something stupid? well, nice, god thing kid goes school online he/she @month1 get cyberbullied he's smart enough he/she money go school. cyberbullying normally occures chat room online. family either become broke money food. @month1 even lose kid house live someone wanted act big bad popular school. conclusion, ways computers effects people. obesity, cramps, sexual harrassment cyberbullying joke fun get done you. turn tell us think computers. think computers good benefits society bad rot little kids brains make lives horrible live with?",5,4,9
