,Essay_id,Essay_set_id,Essay
0,0,7,realli hard time math teacher told us would take time practic get good realli discourag decid keep tri eventu start understand concept work becam easier patienc key struggl someth new keep dont give
1,1,7,mom alway patient go mani trial tribul famili never get upset impati fact she one understand peopl know she alway will listen even doesnt understand im say right away never lose temper even thing realli tough cant imagin go life without patienc
2,2,7,patienc one import thing life whether person life profession life rememb young adult would get frustrat inabl complet task quickli would rush give time achiev best result time learn patienc key success endeavor wait 100 sure task complet alway end ineffici overload system person life patient translat better relationship im quick judg react issu allow person talk candidli voila understand relationship overal think patienc one import virtu cultiv life dividend area life
3,3,7,woman doctor offic annual checkup doctor ask take seat finish paperwork sat tri focu task hand minut start get impati start fidget read paragraph final gave ask doctor could go doctor surpris said sit almost half hour explain patient start feel impati woman learn valuabl lesson alway patient situat like
4,4,7,patienc virtu often time difficult find one student patienc key deal notori difficult trigonometri materi despit seemingli imposs challeng kept will overcom difficult situat anoth individu whose patienc test time time learn calmli diplomat deal difficult individu end individu learn someth valuabl patienc
5,5,7,patienc someth often preach often hard come opinion one import qualiti learn patient well other time thing dont happen way want other thing frustrat learn understand toler situat sometim take long time eventu achiev patienc need
6,6,7,groceri store wait line 30 minut realli hot outsid realli tire get realli irrit somebodi line ahead start move realli slowli freak decid patient told would take minut about45 minut pass line final move littl bit reliev
7,7,7,son born charg breastfeed found one challeng thing ever done exhaust hot latch would start pump give bottl take would lay next would push away frustrat exhaust husband work help surround doctor nurs son father found patienc keep tri would breastfe long period time even tire could bare move patient care week persist son latch start breastfeed trooper grate patient
8,8,7,realli patient tri pick ball friend drop wait everyon left playground slowli made way ball minut search final found happi patient didnt scold friend careless
9,9,7,patient wait line store didnt get angri frustrat kept cool took eventu got purchas way patient realli difficult realli worth manag stay calm get want
10,10,7,grandma one patient peopl know lot life yet never complain alway abl maintain composur take thing one step time even thing get tough never lose faith futur learn lot grate guidanc
11,11,7,favorit time patient wait line understand sometim line long frustrat remind soon get turn sometim line long forget origin wait patient wait turn eventu get want also understand sometim thing dont go plan also patient import get frustrat upset know line long opportun get want patienc definit strength use often glad
12,12,7,one time wait line groceri store realli impati bounc leg tap foot think ladi behind get annoy eventu got food realli grate know impati would turn realli bad realli patient day turn okay
13,13,7,former patient mine ms sarabi alway way make laugh relax session would often see wait room would alway busi comic book color book even session start would take time read chart ask question alway respect great sens humor ms sarabi patient even though sometim felt like wait forev
14,14,7,parent alway taught import patienc would often see patient deal difficult situat even seem like noth go way sometim would take thing turn around parent alway maintain composur never lost hope taught patienc key situat matter difficult might seem eventu worth ive learn key patient never give stay calm collect
15,15,7,im one take thing slowli especi come food love eat love eat fast that appreci patienc food tast better rush month ago made mistak go friend dinner starv went restaur pretti popular wait time least hour normal id fine time realli starv want eat someth fast made big mistak order meal realli big realli expens ate realli quickli embarrass ill never make mistak patienc one import skill person life career import rememb sometim thing take longer youd like will wait someth that import rememb time isnt alway rush sometim best thing life worth wait
16,16,7,patienc someth order good outcom younger would get impati easili thing would frustrat would wait someth would someth didnt want gotten older realiz patienc import thing learn patient friend tri get someth done learn patient also learn patient deal difficulti sometim thing dont go way want patient allow thing happen way suppos happen think import rememb togeth go lot bump road import patient allow thing happen way suppos
