,gen_essay,gen_essay_punct,gen_essay_tokenize,gen_essay_wo_stopwords,gen_essay_lemmatized,gen_essay_stemmed
0,"


I was having a really hard time with math, but my teacher told us that it would take time and practice to get good at it. I was really discouraged, but I decided to keep trying. Eventually, I started to understand the concepts and the work became easier. Patience is key when you are struggling with something new - just keep at it and don't give up!",I was having a really hard time with math but my teacher told us that it would take time and practice to get good at it I was really discouraged but I decided to keep trying Eventually I started to understand the concepts and the work became easier Patience is key when you are struggling with something new  just keep at it and dont give up,"['i', 'was', 'having', 'a', 'really', 'hard', 'time', 'with', 'math', 'but', 'my', 'teacher', 'told', 'us', 'that', 'it', 'would', 'take', 'time', 'and', 'practice', 'to', 'get', 'good', 'at', 'it', 'i', 'was', 'really', 'discouraged', 'but', 'i', 'decided', 'to', 'keep', 'trying', 'eventually', 'i', 'started', 'to', 'understand', 'the', 'concepts', 'and', 'the', 'work', 'became', 'easier', 'patience', 'is', 'key', 'when', 'you', 'are', 'struggling', 'with', 'something', 'new', 'just', 'keep', 'at', 'it', 'and', 'dont', 'give', 'up']","['really', 'hard', 'time', 'math', 'teacher', 'told', 'us', 'would', 'take', 'time', 'practice', 'get', 'good', 'really', 'discouraged', 'decided', 'keep', 'trying', 'eventually', 'started', 'understand', 'concepts', 'work', 'became', 'easier', 'patience', 'key', 'struggling', 'something', 'new', 'keep', 'dont', 'give']","['really', 'hard', 'time', 'math', 'teacher', 'told', 'u', 'would', 'take', 'time', 'practice', 'get', 'good', 'really', 'discouraged', 'decided', 'keep', 'trying', 'eventually', 'started', 'understand', 'concept', 'work', 'became', 'easier', 'patience', 'key', 'struggling', 'something', 'new', 'keep', 'dont', 'give']","['realli', 'hard', 'time', 'math', 'teacher', 'told', 'us', 'would', 'take', 'time', 'practic', 'get', 'good', 'realli', 'discourag', 'decid', 'keep', 'tri', 'eventu', 'start', 'understand', 'concept', 'work', 'becam', 'easier', 'patienc', 'key', 'struggl', 'someth', 'new', 'keep', 'dont', 'give']"
1,"

My mom is always so patient with me. We go through so many trials and tribulations as a family, but she never gets too upset or impatient. In fact, she's one of the most understanding people I know. She's always willing to listen, even if she doesn't understand what I'm saying right away. And she never loses her temper, even when things are really tough. I can't imagine going through life without her patience.",My mom is always so patient with me We go through so many trials and tribulations as a family but she never gets too upset or impatient In fact shes one of the most understanding people I know Shes always willing to listen even if she doesnt understand what Im saying right away And she never loses her temper even when things are really tough I cant imagine going through life without her patience,"['my', 'mom', 'is', 'always', 'so', 'patient', 'with', 'me', 'we', 'go', 'through', 'so', 'many', 'trials', 'and', 'tribulations', 'as', 'a', 'family', 'but', 'she', 'never', 'gets', 'too', 'upset', 'or', 'impatient', 'in', 'fact', 'shes', 'one', 'of', 'the', 'most', 'understanding', 'people', 'i', 'know', 'shes', 'always', 'willing', 'to', 'listen', 'even', 'if', 'she', 'doesnt', 'understand', 'what', 'im', 'saying', 'right', 'away', 'and', 'she', 'never', 'loses', 'her', 'temper', 'even', 'when', 'things', 'are', 'really', 'tough', 'i', 'cant', 'imagine', 'going', 'through', 'life', 'without', 'her', 'patience']","['mom', 'always', 'patient', 'go', 'many', 'trials', 'tribulations', 'family', 'never', 'gets', 'upset', 'impatient', 'fact', 'shes', 'one', 'understanding', 'people', 'know', 'shes', 'always', 'willing', 'listen', 'even', 'doesnt', 'understand', 'im', 'saying', 'right', 'away', 'never', 'loses', 'temper', 'even', 'things', 'really', 'tough', 'cant', 'imagine', 'going', 'life', 'without', 'patience']","['mom', 'always', 'patient', 'go', 'many', 'trial', 'tribulation', 'family', 'never', 'get', 'upset', 'impatient', 'fact', 'shes', 'one', 'understanding', 'people', 'know', 'shes', 'always', 'willing', 'listen', 'even', 'doesnt', 'understand', 'im', 'saying', 'right', 'away', 'never', 'loses', 'temper', 'even', 'thing', 'really', 'tough', 'cant', 'imagine', 'going', 'life', 'without', 'patience']","['mom', 'alway', 'patient', 'go', 'mani', 'trial', 'tribul', 'famili', 'never', 'get', 'upset', 'impati', 'fact', 'she', 'one', 'understand', 'peopl', 'know', 'she', 'alway', 'will', 'listen', 'even', 'doesnt', 'understand', 'im', 'say', 'right', 'away', 'never', 'lose', 'temper', 'even', 'thing', 'realli', 'tough', 'cant', 'imagin', 'go', 'life', 'without', 'patienc']"
2,"


Patience is one of the most important things you can have in your life, whether it's in your personal life or your professional life. I remember, as a young adult, I would get so frustrated with my inability to complete tasks quickly. I would rush through them, not giving myself the time to achieve the best results. But, over time, I learned that patience is key to any successful endeavor. If I waited until I was 100% sure I had the task completed, I always ended up with an inefficient and overloaded system. In my personal life, being patient has translated to better relationships. I'm not as quick to judge or react to an issue, which allows the other person to talk more candidly and voila—a more understanding relationship. Overall, I think patience is one of the most important virtues you can cultivate in your life and it has dividends in all areas of your life.",Patience is one of the most important things you can have in your life whether its in your personal life or your professional life I remember as a young adult I would get so frustrated with my inability to complete tasks quickly I would rush through them not giving myself the time to achieve the best results But over time I learned that patience is key to any successful endeavor If I waited until I was 100 sure I had the task completed I always ended up with an inefficient and overloaded system In my personal life being patient has translated to better relationships Im not as quick to judge or react to an issue which allows the other person to talk more candidly and voila—a more understanding relationship Overall I think patience is one of the most important virtues you can cultivate in your life and it has dividends in all areas of your life,"['patience', 'is', 'one', 'of', 'the', 'most', 'important', 'things', 'you', 'can', 'have', 'in', 'your', 'life', 'whether', 'its', 'in', 'your', 'personal', 'life', 'or', 'your', 'professional', 'life', 'i', 'remember', 'as', 'a', 'young', 'adult', 'i', 'would', 'get', 'so', 'frustrated', 'with', 'my', 'inability', 'to', 'complete', 'tasks', 'quickly', 'i', 'would', 'rush', 'through', 'them', 'not', 'giving', 'myself', 'the', 'time', 'to', 'achieve', 'the', 'best', 'results', 'but', 'over', 'time', 'i', 'learned', 'that', 'patience', 'is', 'key', 'to', 'any', 'successful', 'endeavor', 'if', 'i', 'waited', 'until', 'i', 'was', '100', 'sure', 'i', 'had', 'the', 'task', 'completed', 'i', 'always', 'ended', 'up', 'with', 'an', 'inefficient', 'and', 'overloaded', 'system', 'in', 'my', 'personal', 'life', 'being', 'patient', 'has', 'translated', 'to', 'better', 'relationships', 'im', 'not', 'as', 'quick', 'to', 'judge', 'or', 'react', 'to', 'an', 'issue', 'which', 'allows', 'the', 'other', 'person', 'to', 'talk', 'more', 'candidly', 'and', 'voila', 'a', 'more', 'understanding', 'relationship', 'overall', 'i', 'think', 'patience', 'is', 'one', 'of', 'the', 'most', 'important', 'virtues', 'you', 'can', 'cultivate', 'in', 'your', 'life', 'and', 'it', 'has', 'dividends', 'in', 'all', 'areas', 'of', 'your', 'life']","['patience', 'one', 'important', 'things', 'life', 'whether', 'personal', 'life', 'professional', 'life', 'remember', 'young', 'adult', 'would', 'get', 'frustrated', 'inability', 'complete', 'tasks', 'quickly', 'would', 'rush', 'giving', 'time', 'achieve', 'best', 'results', 'time', 'learned', 'patience', 'key', 'successful', 'endeavor', 'waited', '100', 'sure', 'task', 'completed', 'always', 'ended', 'inefficient', 'overloaded', 'system', 'personal', 'life', 'patient', 'translated', 'better', 'relationships', 'im', 'quick', 'judge', 'react', 'issue', 'allows', 'person', 'talk', 'candidly', 'voila', 'understanding', 'relationship', 'overall', 'think', 'patience', 'one', 'important', 'virtues', 'cultivate', 'life', 'dividends', 'areas', 'life']","['patience', 'one', 'important', 'thing', 'life', 'whether', 'personal', 'life', 'professional', 'life', 'remember', 'young', 'adult', 'would', 'get', 'frustrated', 'inability', 'complete', 'task', 'quickly', 'would', 'rush', 'giving', 'time', 'achieve', 'best', 'result', 'time', 'learned', 'patience', 'key', 'successful', 'endeavor', 'waited', '100', 'sure', 'task', 'completed', 'always', 'ended', 'inefficient', 'overloaded', 'system', 'personal', 'life', 'patient', 'translated', 'better', 'relationship', 'im', 'quick', 'judge', 'react', 'issue', 'allows', 'person', 'talk', 'candidly', 'voila', 'understanding', 'relationship', 'overall', 'think', 'patience', 'one', 'important', 'virtue', 'cultivate', 'life', 'dividend', 'area', 'life']","['patienc', 'one', 'import', 'thing', 'life', 'whether', 'person', 'life', 'profession', 'life', 'rememb', 'young', 'adult', 'would', 'get', 'frustrat', 'inabl', 'complet', 'task', 'quickli', 'would', 'rush', 'give', 'time', 'achiev', 'best', 'result', 'time', 'learn', 'patienc', 'key', 'success', 'endeavor', 'wait', '100', 'sure', 'task', 'complet', 'alway', 'end', 'ineffici', 'overload', 'system', 'person', 'life', 'patient', 'translat', 'better', 'relationship', 'im', 'quick', 'judg', 'react', 'issu', 'allow', 'person', 'talk', 'candidli', 'voila', 'understand', 'relationship', 'overal', 'think', 'patienc', 'one', 'import', 'virtu', 'cultiv', 'life', 'dividend', 'area', 'life']"
3,"

A woman was at the doctor's office for her annual check-up. The doctor asked her to take a seat and finish up her paperwork. She sat down and tried to focus on the task at hand. After a few minutes, she started getting impatient. She started to fidget and read the same paragraph over and over again. Finally, she just gave up and asked the doctor if she could go. The doctor was surprised and said that she had been sitting there for almost half an hour. She explained that she had been patient, but she was starting to feel impatient. The woman learned a valuable lesson - always be patient in situations like this.",A woman was at the doctors office for her annual checkup The doctor asked her to take a seat and finish up her paperwork She sat down and tried to focus on the task at hand After a few minutes she started getting impatient She started to fidget and read the same paragraph over and over again Finally she just gave up and asked the doctor if she could go The doctor was surprised and said that she had been sitting there for almost half an hour She explained that she had been patient but she was starting to feel impatient The woman learned a valuable lesson  always be patient in situations like this,"['a', 'woman', 'was', 'at', 'the', 'doctors', 'office', 'for', 'her', 'annual', 'checkup', 'the', 'doctor', 'asked', 'her', 'to', 'take', 'a', 'seat', 'and', 'finish', 'up', 'her', 'paperwork', 'she', 'sat', 'down', 'and', 'tried', 'to', 'focus', 'on', 'the', 'task', 'at', 'hand', 'after', 'a', 'few', 'minutes', 'she', 'started', 'getting', 'impatient', 'she', 'started', 'to', 'fidget', 'and', 'read', 'the', 'same', 'paragraph', 'over', 'and', 'over', 'again', 'finally', 'she', 'just', 'gave', 'up', 'and', 'asked', 'the', 'doctor', 'if', 'she', 'could', 'go', 'the', 'doctor', 'was', 'surprised', 'and', 'said', 'that', 'she', 'had', 'been', 'sitting', 'there', 'for', 'almost', 'half', 'an', 'hour', 'she', 'explained', 'that', 'she', 'had', 'been', 'patient', 'but', 'she', 'was', 'starting', 'to', 'feel', 'impatient', 'the', 'woman', 'learned', 'a', 'valuable', 'lesson', 'always', 'be', 'patient', 'in', 'situations', 'like', 'this']","['woman', 'doctors', 'office', 'annual', 'checkup', 'doctor', 'asked', 'take', 'seat', 'finish', 'paperwork', 'sat', 'tried', 'focus', 'task', 'hand', 'minutes', 'started', 'getting', 'impatient', 'started', 'fidget', 'read', 'paragraph', 'finally', 'gave', 'asked', 'doctor', 'could', 'go', 'doctor', 'surprised', 'said', 'sitting', 'almost', 'half', 'hour', 'explained', 'patient', 'starting', 'feel', 'impatient', 'woman', 'learned', 'valuable', 'lesson', 'always', 'patient', 'situations', 'like']","['woman', 'doctor', 'office', 'annual', 'checkup', 'doctor', 'asked', 'take', 'seat', 'finish', 'paperwork', 'sat', 'tried', 'focus', 'task', 'hand', 'minute', 'started', 'getting', 'impatient', 'started', 'fidget', 'read', 'paragraph', 'finally', 'gave', 'asked', 'doctor', 'could', 'go', 'doctor', 'surprised', 'said', 'sitting', 'almost', 'half', 'hour', 'explained', 'patient', 'starting', 'feel', 'impatient', 'woman', 'learned', 'valuable', 'lesson', 'always', 'patient', 'situation', 'like']","['woman', 'doctor', 'offic', 'annual', 'checkup', 'doctor', 'ask', 'take', 'seat', 'finish', 'paperwork', 'sat', 'tri', 'focu', 'task', 'hand', 'minut', 'start', 'get', 'impati', 'start', 'fidget', 'read', 'paragraph', 'final', 'gave', 'ask', 'doctor', 'could', 'go', 'doctor', 'surpris', 'said', 'sit', 'almost', 'half', 'hour', 'explain', 'patient', 'start', 'feel', 'impati', 'woman', 'learn', 'valuabl', 'lesson', 'alway', 'patient', 'situat', 'like']"
4,"

Patience is a virtue that is often times difficult to find. For one student, patience was key when dealing with the notoriously difficult trigonometry material. Despite the seemingly impossible challenges, she kept at it, willing herself to overcome any difficult situation. Another individual, whose patience was tested time and time again, learned how to calmly and diplomatically deal with difficult individuals. In the end, each of these individuals learned something valuable about themselves – and about patience.",Patience is a virtue that is often times difficult to find For one student patience was key when dealing with the notoriously difficult trigonometry material Despite the seemingly impossible challenges she kept at it willing herself to overcome any difficult situation Another individual whose patience was tested time and time again learned how to calmly and diplomatically deal with difficult individuals In the end each of these individuals learned something valuable about themselves – and about patience,"['patience', 'is', 'a', 'virtue', 'that', 'is', 'often', 'times', 'difficult', 'to', 'find', 'for', 'one', 'student', 'patience', 'was', 'key', 'when', 'dealing', 'with', 'the', 'notoriously', 'difficult', 'trigonometry', 'material', 'despite', 'the', 'seemingly', 'impossible', 'challenges', 'she', 'kept', 'at', 'it', 'willing', 'herself', 'to', 'overcome', 'any', 'difficult', 'situation', 'another', 'individual', 'whose', 'patience', 'was', 'tested', 'time', 'and', 'time', 'again', 'learned', 'how', 'to', 'calmly', 'and', 'diplomatically', 'deal', 'with', 'difficult', 'individuals', 'in', 'the', 'end', 'each', 'of', 'these', 'individuals', 'learned', 'something', 'valuable', 'about', 'themselves', 'and', 'about', 'patience']","['patience', 'virtue', 'often', 'times', 'difficult', 'find', 'one', 'student', 'patience', 'key', 'dealing', 'notoriously', 'difficult', 'trigonometry', 'material', 'despite', 'seemingly', 'impossible', 'challenges', 'kept', 'willing', 'overcome', 'difficult', 'situation', 'another', 'individual', 'whose', 'patience', 'tested', 'time', 'time', 'learned', 'calmly', 'diplomatically', 'deal', 'difficult', 'individuals', 'end', 'individuals', 'learned', 'something', 'valuable', 'patience']","['patience', 'virtue', 'often', 'time', 'difficult', 'find', 'one', 'student', 'patience', 'key', 'dealing', 'notoriously', 'difficult', 'trigonometry', 'material', 'despite', 'seemingly', 'impossible', 'challenge', 'kept', 'willing', 'overcome', 'difficult', 'situation', 'another', 'individual', 'whose', 'patience', 'tested', 'time', 'time', 'learned', 'calmly', 'diplomatically', 'deal', 'difficult', 'individual', 'end', 'individual', 'learned', 'something', 'valuable', 'patience']","['patienc', 'virtu', 'often', 'time', 'difficult', 'find', 'one', 'student', 'patienc', 'key', 'deal', 'notori', 'difficult', 'trigonometri', 'materi', 'despit', 'seemingli', 'imposs', 'challeng', 'kept', 'will', 'overcom', 'difficult', 'situat', 'anoth', 'individu', 'whose', 'patienc', 'test', 'time', 'time', 'learn', 'calmli', 'diplomat', 'deal', 'difficult', 'individu', 'end', 'individu', 'learn', 'someth', 'valuabl', 'patienc']"
5,"

Patience is something that is often preached, but is often hard to come by. In my opinion, it is one of the most important qualities to have. I have had to learn to be patient with myself, as well as with others. There are times when things just don't happen the way that I want them to, or when others do things that frustrate me. I have had to learn to be understanding and tolerant of these situations. Sometimes it takes a long time, but eventually I achieve the patience that I need.",Patience is something that is often preached but is often hard to come by In my opinion it is one of the most important qualities to have I have had to learn to be patient with myself as well as with others There are times when things just dont happen the way that I want them to or when others do things that frustrate me I have had to learn to be understanding and tolerant of these situations Sometimes it takes a long time but eventually I achieve the patience that I need,"['patience', 'is', 'something', 'that', 'is', 'often', 'preached', 'but', 'is', 'often', 'hard', 'to', 'come', 'by', 'in', 'my', 'opinion', 'it', 'is', 'one', 'of', 'the', 'most', 'important', 'qualities', 'to', 'have', 'i', 'have', 'had', 'to', 'learn', 'to', 'be', 'patient', 'with', 'myself', 'as', 'well', 'as', 'with', 'others', 'there', 'are', 'times', 'when', 'things', 'just', 'dont', 'happen', 'the', 'way', 'that', 'i', 'want', 'them', 'to', 'or', 'when', 'others', 'do', 'things', 'that', 'frustrate', 'me', 'i', 'have', 'had', 'to', 'learn', 'to', 'be', 'understanding', 'and', 'tolerant', 'of', 'these', 'situations', 'sometimes', 'it', 'takes', 'a', 'long', 'time', 'but', 'eventually', 'i', 'achieve', 'the', 'patience', 'that', 'i', 'need']","['patience', 'something', 'often', 'preached', 'often', 'hard', 'come', 'opinion', 'one', 'important', 'qualities', 'learn', 'patient', 'well', 'others', 'times', 'things', 'dont', 'happen', 'way', 'want', 'others', 'things', 'frustrate', 'learn', 'understanding', 'tolerant', 'situations', 'sometimes', 'takes', 'long', 'time', 'eventually', 'achieve', 'patience', 'need']","['patience', 'something', 'often', 'preached', 'often', 'hard', 'come', 'opinion', 'one', 'important', 'quality', 'learn', 'patient', 'well', 'others', 'time', 'thing', 'dont', 'happen', 'way', 'want', 'others', 'thing', 'frustrate', 'learn', 'understanding', 'tolerant', 'situation', 'sometimes', 'take', 'long', 'time', 'eventually', 'achieve', 'patience', 'need']","['patienc', 'someth', 'often', 'preach', 'often', 'hard', 'come', 'opinion', 'one', 'import', 'qualiti', 'learn', 'patient', 'well', 'other', 'time', 'thing', 'dont', 'happen', 'way', 'want', 'other', 'thing', 'frustrat', 'learn', 'understand', 'toler', 'situat', 'sometim', 'take', 'long', 'time', 'eventu', 'achiev', 'patienc', 'need']"
6,"


I was at the grocery store and I was waiting in line for about 30 minutes. It was really hot outside and I was really tired. I was getting really irritated. Then, somebody in the line ahead of me started moving really slowly. I was about to freak out. But I decided to be patient. I told myself that it would only take a few minutes more. And then, after about45 minutes had passed, the line finally moved a little bit. I was so relieved.",I was at the grocery store and I was waiting in line for about 30 minutes It was really hot outside and I was really tired I was getting really irritated Then somebody in the line ahead of me started moving really slowly I was about to freak out But I decided to be patient I told myself that it would only take a few minutes more And then after about45 minutes had passed the line finally moved a little bit I was so relieved,"['i', 'was', 'at', 'the', 'grocery', 'store', 'and', 'i', 'was', 'waiting', 'in', 'line', 'for', 'about', '30', 'minutes', 'it', 'was', 'really', 'hot', 'outside', 'and', 'i', 'was', 'really', 'tired', 'i', 'was', 'getting', 'really', 'irritated', 'then', 'somebody', 'in', 'the', 'line', 'ahead', 'of', 'me', 'started', 'moving', 'really', 'slowly', 'i', 'was', 'about', 'to', 'freak', 'out', 'but', 'i', 'decided', 'to', 'be', 'patient', 'i', 'told', 'myself', 'that', 'it', 'would', 'only', 'take', 'a', 'few', 'minutes', 'more', 'and', 'then', 'after', 'about45', 'minutes', 'had', 'passed', 'the', 'line', 'finally', 'moved', 'a', 'little', 'bit', 'i', 'was', 'so', 'relieved']","['grocery', 'store', 'waiting', 'line', '30', 'minutes', 'really', 'hot', 'outside', 'really', 'tired', 'getting', 'really', 'irritated', 'somebody', 'line', 'ahead', 'started', 'moving', 'really', 'slowly', 'freak', 'decided', 'patient', 'told', 'would', 'take', 'minutes', 'about45', 'minutes', 'passed', 'line', 'finally', 'moved', 'little', 'bit', 'relieved']","['grocery', 'store', 'waiting', 'line', '30', 'minute', 'really', 'hot', 'outside', 'really', 'tired', 'getting', 'really', 'irritated', 'somebody', 'line', 'ahead', 'started', 'moving', 'really', 'slowly', 'freak', 'decided', 'patient', 'told', 'would', 'take', 'minute', 'about45', 'minute', 'passed', 'line', 'finally', 'moved', 'little', 'bit', 'relieved']","['groceri', 'store', 'wait', 'line', '30', 'minut', 'realli', 'hot', 'outsid', 'realli', 'tire', 'get', 'realli', 'irrit', 'somebodi', 'line', 'ahead', 'start', 'move', 'realli', 'slowli', 'freak', 'decid', 'patient', 'told', 'would', 'take', 'minut', 'about45', 'minut', 'pass', 'line', 'final', 'move', 'littl', 'bit', 'reliev']"
7,"

When my son was born, I was in charge of breastfeeding him. I found it to be one of the most challenge things I have ever done. I was exhausted, it was very hot, and he wouldn’t latch on. I would start to pump and give him bottles, but he wouldn’t take them. I would lay down next to him, but he would push me away. I was so frustrated and exhausted. My husband was working and couldn’t help me. I was surrounded by doctors, nurses, and my son’s father, but I just couldn’t do it. But I found the patience to keep trying. I would breastfeed him for long periods of time, even when I was so tired I could barely move. I was patient and I was caring. After a few weeks of persistence, my son latched on and started breastfeeding. He was such a trooper and I am so grateful that I was patient with him.",When my son was born I was in charge of breastfeeding him I found it to be one of the most challenge things I have ever done I was exhausted it was very hot and he wouldn’t latch on I would start to pump and give him bottles but he wouldn’t take them I would lay down next to him but he would push me away I was so frustrated and exhausted My husband was working and couldn’t help me I was surrounded by doctors nurses and my son’s father but I just couldn’t do it But I found the patience to keep trying I would breastfeed him for long periods of time even when I was so tired I could barely move I was patient and I was caring After a few weeks of persistence my son latched on and started breastfeeding He was such a trooper and I am so grateful that I was patient with him,"['when', 'my', 'son', 'was', 'born', 'i', 'was', 'in', 'charge', 'of', 'breastfeeding', 'him', 'i', 'found', 'it', 'to', 'be', 'one', 'of', 'the', 'most', 'challenge', 'things', 'i', 'have', 'ever', 'done', 'i', 'was', 'exhausted', 'it', 'was', 'very', 'hot', 'and', 'he', 'wouldn', 't', 'latch', 'on', 'i', 'would', 'start', 'to', 'pump', 'and', 'give', 'him', 'bottles', 'but', 'he', 'wouldn', 't', 'take', 'them', 'i', 'would', 'lay', 'down', 'next', 'to', 'him', 'but', 'he', 'would', 'push', 'me', 'away', 'i', 'was', 'so', 'frustrated', 'and', 'exhausted', 'my', 'husband', 'was', 'working', 'and', 'couldn', 't', 'help', 'me', 'i', 'was', 'surrounded', 'by', 'doctors', 'nurses', 'and', 'my', 'son', 's', 'father', 'but', 'i', 'just', 'couldn', 't', 'do', 'it', 'but', 'i', 'found', 'the', 'patience', 'to', 'keep', 'trying', 'i', 'would', 'breastfeed', 'him', 'for', 'long', 'periods', 'of', 'time', 'even', 'when', 'i', 'was', 'so', 'tired', 'i', 'could', 'barely', 'move', 'i', 'was', 'patient', 'and', 'i', 'was', 'caring', 'after', 'a', 'few', 'weeks', 'of', 'persistence', 'my', 'son', 'latched', 'on', 'and', 'started', 'breastfeeding', 'he', 'was', 'such', 'a', 'trooper', 'and', 'i', 'am', 'so', 'grateful', 'that', 'i', 'was', 'patient', 'with', 'him']","['son', 'born', 'charge', 'breastfeeding', 'found', 'one', 'challenge', 'things', 'ever', 'done', 'exhausted', 'hot', 'latch', 'would', 'start', 'pump', 'give', 'bottles', 'take', 'would', 'lay', 'next', 'would', 'push', 'away', 'frustrated', 'exhausted', 'husband', 'working', 'help', 'surrounded', 'doctors', 'nurses', 'son', 'father', 'found', 'patience', 'keep', 'trying', 'would', 'breastfeed', 'long', 'periods', 'time', 'even', 'tired', 'could', 'barely', 'move', 'patient', 'caring', 'weeks', 'persistence', 'son', 'latched', 'started', 'breastfeeding', 'trooper', 'grateful', 'patient']","['son', 'born', 'charge', 'breastfeeding', 'found', 'one', 'challenge', 'thing', 'ever', 'done', 'exhausted', 'hot', 'latch', 'would', 'start', 'pump', 'give', 'bottle', 'take', 'would', 'lay', 'next', 'would', 'push', 'away', 'frustrated', 'exhausted', 'husband', 'working', 'help', 'surrounded', 'doctor', 'nurse', 'son', 'father', 'found', 'patience', 'keep', 'trying', 'would', 'breastfeed', 'long', 'period', 'time', 'even', 'tired', 'could', 'barely', 'move', 'patient', 'caring', 'week', 'persistence', 'son', 'latched', 'started', 'breastfeeding', 'trooper', 'grateful', 'patient']","['son', 'born', 'charg', 'breastfeed', 'found', 'one', 'challeng', 'thing', 'ever', 'done', 'exhaust', 'hot', 'latch', 'would', 'start', 'pump', 'give', 'bottl', 'take', 'would', 'lay', 'next', 'would', 'push', 'away', 'frustrat', 'exhaust', 'husband', 'work', 'help', 'surround', 'doctor', 'nurs', 'son', 'father', 'found', 'patienc', 'keep', 'tri', 'would', 'breastfe', 'long', 'period', 'time', 'even', 'tire', 'could', 'bare', 'move', 'patient', 'care', 'week', 'persist', 'son', 'latch', 'start', 'breastfeed', 'trooper', 'grate', 'patient']"
8,"


I was really patient when I was trying to pick up the ball that my friend had dropped. I waited until everyone had left the playground, and I slowly made my way over to where the ball was. After a few minutes of searching, I finally found it. I was so happy that I had been patient, and I didn't scold my friend for being careless.",I was really patient when I was trying to pick up the ball that my friend had dropped I waited until everyone had left the playground and I slowly made my way over to where the ball was After a few minutes of searching I finally found it I was so happy that I had been patient and I didnt scold my friend for being careless,"['i', 'was', 'really', 'patient', 'when', 'i', 'was', 'trying', 'to', 'pick', 'up', 'the', 'ball', 'that', 'my', 'friend', 'had', 'dropped', 'i', 'waited', 'until', 'everyone', 'had', 'left', 'the', 'playground', 'and', 'i', 'slowly', 'made', 'my', 'way', 'over', 'to', 'where', 'the', 'ball', 'was', 'after', 'a', 'few', 'minutes', 'of', 'searching', 'i', 'finally', 'found', 'it', 'i', 'was', 'so', 'happy', 'that', 'i', 'had', 'been', 'patient', 'and', 'i', 'didnt', 'scold', 'my', 'friend', 'for', 'being', 'careless']","['really', 'patient', 'trying', 'pick', 'ball', 'friend', 'dropped', 'waited', 'everyone', 'left', 'playground', 'slowly', 'made', 'way', 'ball', 'minutes', 'searching', 'finally', 'found', 'happy', 'patient', 'didnt', 'scold', 'friend', 'careless']","['really', 'patient', 'trying', 'pick', 'ball', 'friend', 'dropped', 'waited', 'everyone', 'left', 'playground', 'slowly', 'made', 'way', 'ball', 'minute', 'searching', 'finally', 'found', 'happy', 'patient', 'didnt', 'scold', 'friend', 'careless']","['realli', 'patient', 'tri', 'pick', 'ball', 'friend', 'drop', 'wait', 'everyon', 'left', 'playground', 'slowli', 'made', 'way', 'ball', 'minut', 'search', 'final', 'found', 'happi', 'patient', 'didnt', 'scold', 'friend', 'careless']"
9,"



I was very patient when I waited in line at the store. I didn't get angry or frustrated, and I just kept my cool. It took a while, but eventually I got my purchase and I was on my way. Being patient can be really difficult, but it's really worth it when you manage to stay calm and get what you want.",I was very patient when I waited in line at the store I didnt get angry or frustrated and I just kept my cool It took a while but eventually I got my purchase and I was on my way Being patient can be really difficult but its really worth it when you manage to stay calm and get what you want,"['i', 'was', 'very', 'patient', 'when', 'i', 'waited', 'in', 'line', 'at', 'the', 'store', 'i', 'didnt', 'get', 'angry', 'or', 'frustrated', 'and', 'i', 'just', 'kept', 'my', 'cool', 'it', 'took', 'a', 'while', 'but', 'eventually', 'i', 'got', 'my', 'purchase', 'and', 'i', 'was', 'on', 'my', 'way', 'being', 'patient', 'can', 'be', 'really', 'difficult', 'but', 'its', 'really', 'worth', 'it', 'when', 'you', 'manage', 'to', 'stay', 'calm', 'and', 'get', 'what', 'you', 'want']","['patient', 'waited', 'line', 'store', 'didnt', 'get', 'angry', 'frustrated', 'kept', 'cool', 'took', 'eventually', 'got', 'purchase', 'way', 'patient', 'really', 'difficult', 'really', 'worth', 'manage', 'stay', 'calm', 'get', 'want']","['patient', 'waited', 'line', 'store', 'didnt', 'get', 'angry', 'frustrated', 'kept', 'cool', 'took', 'eventually', 'got', 'purchase', 'way', 'patient', 'really', 'difficult', 'really', 'worth', 'manage', 'stay', 'calm', 'get', 'want']","['patient', 'wait', 'line', 'store', 'didnt', 'get', 'angri', 'frustrat', 'kept', 'cool', 'took', 'eventu', 'got', 'purchas', 'way', 'patient', 'realli', 'difficult', 'realli', 'worth', 'manag', 'stay', 'calm', 'get', 'want']"
