,essay_set,essay_id,essay,rater1_domain1,rater2_domain1,domain1_score
0,8,20716,long time ago third grade friend mom bad mood never laughed never smiled every time saw would smile would frown keep walking first know grouch thought like something told mom grouch started laugh laugh asked funny told thought mom like something every time see mom would smile frown walk away made friend laugh cracking hard got trouble class next day eating lunch school says lt hey pretty good making people laugh gt said lt jokesare horrible gt said lt lets put test go one new school gt said went around whole school looking new student unfortunately find one heard bell ring ran class sat back classroom anempty seat us excited teacher going show us movie got front room andclass today announcement new student class say hello walked door told shecould sit back sat turned us said hello gave look said tell joke thumbs turned said hi want hear joke said yeah sure started lt knockshe said lt therei said lt booshe said lt boo said lt oh cry right gt first laugh get duringthe middle movie said lt ohhhh get itand started laugh turned said lt told gt got crazy idea spent night house could make mom laugh least make smile said lt sounds like plan gt asked mt mom could spend night house said lt yeah make sure mom gt asked mom said got house first thing play video games dinner time sat table eat one side parents started eating told tell joke parents said said lt gt replied lt therei said lt boothey said lt boo said lt oh cry right gt parents started laugh laugh keptlaughing like five minutes turned yelled worked mom asked worked explained everything mom told usthat mom recently died bad mood dinner went bed fell asleep next morning mom came pick asked sleep went said fun made people laugh said laughter going help clean roomall could say gosh darn fin,18,16,34
1,8,20717,softball one single greatest sports alive playing softball college always goal mine love dirt sticks face sweat dripping forehead gallons gallons water poor keep cool blistering although love softball feel memories acquire times teammates things remember softball career always great memories softball many laughs tears frustrations opportunity play top notch team looked forward many memories would hood team name played almost four years local team many girls like sisters treated amazingly years playing felt like set team going play girls though high school would become even closer fifth year approached looking forward dad came idea maybe play team locally idea also enticing faced big dilemma either stay team knew well continue play high school ended play team knew nothing play girls might like girls much better looked upon looked pros cons teams decided would stay team knew well would stay comfortable point softball around corner began reanalyze everything really want stay comfortable maybe challenge become better player maybe could work hard enough college scouts take look hopefully play later decided would take chance try team dad drove field would try team stomach knots wanted team like playing possible ways head could greet sound snobby grump time moved quickly wished would slow heart felt like beating million times per second nervous mouth began feel sticky odd taste soon mouth became bone dry taste flavor sticky mess car stationary dad looked said ready come nervous began take body arms shaking uncontrollably second guessing every move made even troubles removing seat belt approached field felt like time slow motion walking saw girls turn heads see new fresh meat arrived first thought run want go done wanted home ready start year take walked onto field grew smile everyone told names favorite color small fun fact found laughing whole try awkward moments enjoyed time wait go back made new friends friends knew would grow close year team amazing friendships girls never would discovered gone girls like family coaches even laughter played big role decision made play team gone tried fun laughed would decided play great memories also softball going discovering new friendships therefore enjoying sport well people,21,26,46
2,8,20718,people like making people laugh love anything get good laugh make fun self insanely stupid things sometimes hurt serious way little really understand laughter odd reason could never tell difference people laughing something laughing kind special areas kid still today still tender age five loved making people laugh special would even crazier things laugh mind kind spaz really big spaz hyperactive five year old ever meet example one time hit head hammer another time dancing around class pencil hand stabbed head needed stitches one craziest times though couple days take pictures wanted go play outside mom knowing special got allow expert persuasive kid back convinced let go outside could even reach street fell head first corner sidewalk leaving huge mark completely ruining pictures although might make people laugh story laughter spaz know love making people laugh special complete spaz get story well kindergarten loved school got hang friends play blocks might sound stupid kindergarten thing like kindergarten bully surprisingly never bully except kindergarten bad bully would give wedgies story time whole deal best time teacher could see still know bully bully anymore goody two shoes think odd anyways kindergarten good year except one day every day got wedgies day whole story told love making people laugh told special spaz everything story circles around one day dramatic pause kindergarten started like day kindergarten woke daily routine hopped car headed school got school grabbed daily binder patted education sign like mall cop would pat observe report sign work colored basically work came around break ran around play ground got little snack finished getting last drops juice boxes headed story time little circle like deformed oval listening story right would get story lose guard would receive excruciatingly painful five year old wedgie story almost finished five year old attention spans wearing thin getting excited story finally finished standing memory starts fade cracked really funny joke whole kindergarten class erupted laughter special spaz tell people laughing burst tears remember balling eyes drinking fountain trying hide tears one teachers tried help telling laughing joke took couple minutes stop crying little longer realize laughing day still get reminded classmates day course laugh kindergarten ninth grade people remember kind crazy negative experience turned blessing disguise made grow better person tell difference laughter also okay people laugh dumb things make people laugh actually forte remember special could sometimes best thing makes makes great makes grow makes people laugh,15,20,40
3,8,20719,laughter hang friends one thing best laugh sometimes reason thing tend laugh running trash cans laundry maybe even ate dinner usual stressed one thing love hangout friends usual good listeners overall though take mind things friends count great time matter occasion say trash really mean trash cans remember one time hall way school friend hanging back pack tends loose hall way lot walk lot faster anyways class bell rouge student heading lunch getting ready cross hall way said nobody stopped kinda slide trash hanging wall hall way knocked really say still walking sound effects funny laugh still friend inside joke went lunch together saw laundry mate minds went crazy made funny joke said make self aprons lots color rhinestones way wanted get laundry done time would take clothes put called aprons laundry like nothing laundry done said could pick new outfit r close would clean yes weird makes us laugh anything silly making story like one food sort like laundry guess better remember came school next day started talking dinner think time mom asked us wanted chicken sister screamed said hell yeah dinner ready went go site table looked expected frozen box looked like somebody eaten food puked back great looking thing named talked life almost everyday drama love friend think could asked better one laugh fun fun trash locker whatever else one thing matter one friend get fight stay mad well end day ask done made look laugh reason stupid really need friend fun worrying around us fun silly anybody else self sometime really goofy days make story laundry talking life friends nothing better laugh deep inside friend look back say wow best day would would get trouble class talking way much,12,20,30
4,8,20721,well ima tell story time got town heading town go meet body cold dark creepy way thought went far got bus like counfused like heck ask one man said town said know never mind walked away kind mad like ugh called thenm see phone rings pick said said tonw like oh gosh know never mind like said town said stupid bus come waited like bus comes glad called sayin im bus way said okay said laughing said okay wont laughed like thats funny coulda got snacked raped coulda even bad well thats said like yea yea know whatever lol later night like wont candy showed ow store like ima go last words heard heard smiled well way store cold listing music store look around phone rings hello said girl said wonted make shure said got im gonna mins laster im walking looking around like like oh started walk way came didnt see hose went othere way like gosh im yeah didnt wont know didnt call tried find way back couldnt tried think mins went callled sooo darrio said answer whats hannin said huh laughed say asked like im looking going wrong way looked back started laugh came said said getting air like yeah okay darrio smile thinking lke next time ima ask come smiled got house laughed said okay got laughed like mins chill like hot open wendow said cold like okay closed window back went side min phone rings pick girl said like shut im im front porch said soo slow might still laughed hung went said laughed hole night getting losted know going yeah thats,11,15,26
5,8,20722,going tell little story remember time cousin decided make snowman house say bored want replies go make snowman agree would fun starts reaching jacket gloves stop say getting cold replies say warn start snowman building base biggest piece bottom minutes base almost done notice getting cold go inside says mom even make us hot chocolate go back inside hoping delectably warm hot chocolate see mom ask hot chocolate please look cold course make sit downstairs waiting anxiously hot chocolate heater get warm ready mom calls upstairs fly hall rush stairs amazement find hot chocolate bag chips mom say says welcome boys says mom sit table start drinking hot chocolate mom puts chips paper towels us start eating chips handfuls whereas grabs one one ask grab one corner eye looks slowly brings chip mouth takes bite fell chair fit hysterical laughter mom hears thump hitting floor runs upstairs find laughing funny asks say complies grabs another chip looks corner eye slowly brings mouth takes bite start busting laughing yet mom see humor simply asks funny replies idea died laughter start stop laughing able stand tell mom way looks makes laugh thing effect working ask awesome like says gonna keep get right mimic everything saw avail made happen spilled hot chocolate made laugh albeit way wanted want says please beg say warn proceeds grab another chip looking corner eye bites chip start laughing uncontrollably without pause minutes stop laughing get right say says grab chip look straight bite nothing time looking corner eye nothing yet get time giving goes grab chip slowly bring mouth squinting corner eye bite chip notice laughing laughing told get one many times laughter brought cousin together,20,18,40
6,8,20723,best friend close ever since met lessons local dance studio stayed close throughout years always done similar activities different though going like speak mind carefree opposite conservative take things seriously either way manage even finals week gotten planning sleepover week needed time relax time gotten home school gave quick call answered time wanna hang asked thinking good quickly hung phone gathered gear grabbed toothbrush pillow pajamas blanket put shoes headed back door dad dropped gear brought pajamas pillow extra blanket walked sidewalk door knocked waited seconds later answer big smile across face lead basement junk food set ready us attack gone store earlier day bought everything set old pool table nobody used chips cookies sodas candy chocolate pizza set stuff chair corner room feasted course could eat food simply big enough eating almost hour straight laid basement floor trying gain composure started laughing silly little things came commercials big screen eventually got talking finals went soo good mine gonna get bragged gotten straight every year since middle school think pretty sure though said laying upside floor see tomorrow finally decided move couch opposite side pool table could face already still sugar high switched back forth watching old scary movie top music videos week passed time knew laying opposite ends occasionally one us would get chips candy table grew tired point keep eyes open one even enough energy turn overhead light fell asleep fast woke next laying across anymore sitting corner chair set stuff looked clock already 30 afternoon looked back seemed somewhat upset shifted around blanket could face grunted stretching said abruptly holding folded piece paper hand asked sitting couch crumpled piece paper threw picked lap unfolded report card scanned paper looking grades received one gotten class looked paper see hands covering face walked kinda amused upset got crying asked looked quickly looked stupid face busted laughing felt stupid crying stared laughing knew grades far worse heck glad get perfect best friends even tell lighten tells focus take little things like seriously worth stress sometimes gotta relax maintain focus find perfect balance work play,20,20,40
7,8,20724,laughter really good thing relationship whether friend ship love relation ship work relation ship either way need laughter get tight fun around every body around life needs laughter cheer people laugh every day makes feel happy even really bad mood suicidal really want one talk make smile laugh giggle really feels good laugh friend significant like see people smile laugh friends family also like see laugh awhile every laugh happy even seconds life laughter major thing life nice laugh giggle even life gets crappy anyone everyone needs laugh become grouchy unbearable around please ever ones sake around life please laugh come know want laugh ha ha ha hope least made smile little bit relationship laughter major thing need relationship always try laugh fine life matter screwed life moment laugh,15,19,34
8,8,20725,believe people laughter sense humor something generally everyone common everyone loves share others among young teenage girls laughter commodity infectious always wonderful purest kind joy somethings brings humans together beginning end friendship unity laughter ring lift spirits really need simple laugh make worst day little alright know feeling dread sadness kindness generosity good laughter one things right nowadays even poverty depression oppression simple joy laughter wash away person worries split second fill us utter warmth best friends since ten years old laughter always strongest element knack making burst laughter want angry cry decided apart little funny powers combined could make anyone laugh use power bad days simply need cheering think laughter even friends anymore really brings us together best friends different people even drifted always cracking jokes making others guts hurt tearing laughing hard first impression stomping neighborhood park yell sister playing time would self explanatory reason like first luckily going house sister found many things common four months apart childish kind cajoling held friendship together bit rocky beginning always fighting arguing things look back laugh adolescent stupidity either one us would popping dumb little comments neither us wanted apologize one time proceeded tell hear big bug ear remind things like good ole time laughing mere year old almost rarely fight always laugh make best got poking fun laughter definitely band aid beginning rickety friendship gift make anything funny time says wrong hilarious things always right time laughter necessity us keeps friendship strong think human race would like laughter factor everyday life everyone knows good day laughed let alone smiled people would dull unhappy laughter heals people sickness gives us feeling maybe everything going okay truly believe healthy flip switch laughing bring within us ecstatic serendipitous feeling people take granted use wrong meant spread word happiness lucky gift natural joy anyone even explain detail feeling laughter truly brings us think like describing scent something words think poor miserable people forgotten feels like laugh sad strive laugh every single day make least one person laugh life without diamond rough like laughter life laughter always shelter pursuit happiness,21,20,41
9,8,20726,laughter one life greatest gifts ever laughed hard cried laughed hard breath noise longer escapes lips type person something stupid get done laughing even know started laughing first place hard nothing comes amazing laughter persons heart way makes feel way makes act contagious happens around us everyday never old laughter happens best us young old matter laughter age limit one time stayed three delirious kooky acted like crazy people type relationship almost anything literally almost anything staying drank lots soda sugary foods fuel us night made songs danced around house felt like laughed hours laughed tears flowing eyes get breath heaving lungs gets silent laughing even funny person control look hilarious rocking back forth silly expression upon face making noise ever laughed feels like lifetime feel lifetime laughter almost feels something powerful sun warms heart soul feel happiness emotion flow throughout entire body one greatest feelings world really think greater feeling warmth laughter brings great group friends sit back enjoy laughter share even feeling maybe need cheering always depend pull matter mood hear someone laughing hard join laughing contagious effects us everyday life bet cannot go one day without hearing someone laughing probably five hundred times day love hearing people brightens mood also day would definitely say laughter important beneficial relationship mean imagine world without laughter boring right advice like heard funniest thing world like tomorrow cares people thinks dumb feel much better tear induced hard breath silent oh therapeutic laughter really shortest distance people,20,20,40
